Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1200752.3","Escherichia coli NCCP15648",,1200752,"Complete","NCCP15648",,,,"MLST.Escherichia_coli_1.678,MLST.Escherichia_coli_2.290",,,,"2017-08-02T00:00:00Z",,"PRJNA168631","SAMN02928551","GCA_003433275.1",,"CP009050,CP009051,CP009052,CP009053",,"Yonsei University",,"HiSeq2000","1,205x","CLC Genomics workbench v. 5.1",1,3,4,5588834,50.603848,5710,5343,,"stool","isolated from a patient with diarrhea and has Shiga-like toxin genes and eaeA","2001","South Korea","South Korea",,,,,,"Human, Homo sapiens",,,"diarrhea",,,,,,"Negative",,,,"Mesophilic",,,"Facultative","HostAssociated",,"Escherichia coli NCCP15648 was isolated from a patient with diarrhea and has Shiga-like toxin genes and eaeA. The genome sequence will be used for comparative analysis with those of other pathogenic E. coli strains.",,99.9,98.7,100,,,"Good","2018-10-02T02:54:36.654Z","2018-10-02T02:54:36.654Z"
"1248915.3","Escherichia coli O145:H28 str. RM13516","Escherichia coli O145:H28 str. RM13516",1248915,"Complete","RM13516","serovar s",,,"MLST.Escherichia_coli_1.6130",," ",,"2014-01-14T00:00:00Z","24410921","PRJNA178650","SAMN02641384","GCA_000520055.1",,"CP006262.1,CP006264.1,CP006263.1","NZ_CP006262.1,NZ_CP006263.1,NZ_CP006264.1","'USDA, ARS, WRRC, PSM'","complete","454; Illumina; PacBio",,"Newbler v. v2.3; Velvet v. v1.0.13;",1,2,3,5559008,50.5948,5667,5513,,"feces","isolated from a patient in Belgium during a 2007 outbreak of STEC infection associated with consumption of ice cream produced in a farm","2007","Belgium","Belgium",,,,,,"Human, Homo sapiens",,,,,,,,,"Negative","Bacilli",,"Nonsporulating","Mesophilic","37C","Mesophilic","Facultative","Multiple","Enteric","'Recently there has been an increase in outbreaks associated with non-O157 Shiga-toxin producing Escherichia coli (STECs), most commonly associated with the serotypes O26, O45, O103, O111, O121, and O145. Escherichia coli O145:H28 str. RM13516 was isolated from a patient in Belgium during a 2007 outbreak of STEC infection associated with consumption of ice cream produced in a farm.'",,99.4,98.8,100,,,"Good","2014-12-08T22:11:32.238Z","2015-03-16T03:17:09.594Z"
"1355100.3","Escherichia coli JJ1886","Escherichia coli JJ1886",1355100,"Complete","JJ1886",,,,"MLST.Escherichia_coli_1.131",," ",,"2013-10-29T00:00:00Z","24309736","PRJNA218163","SAMN02603887","GCA_000493755.1",,"CP006784.1,CP006789.1,CP006785.1,CP006788.1,CP006786.1,CP006787.1","NC_022648.1,NC_022651.1,NC_022661.1,NC_022650.1,NC_022649.1,NC_022662.1","Statens Serum Institut","complete","454; Illumina; PacBio","50x","MIRA v. 3.9.9; ABySS v. 1.3.4; PBJelly v.",1,4,6,5308284,50.7667,5323,5049,,"Patient",,"2007","United States","United States",,,,,,"Human, Homo sapiens",,,"fatal urosepsis",,,,,,"Negative","Bacilli","Motile","Nonsporulating","Mesophilic","37C","Unknown","Facultative","Multiple","Urosepsis","Complete Genome of the Epidemic and Highly Virulent CTX-M-15-Producing H30-Rx Subclone of Escherichia coli ST131.",,99.8,98.3,100,,,"Good","2014-12-08T22:11:27.555Z","2015-03-16T03:17:09.594Z"
"1355101.3","Escherichia coli JJ1887",,1355101,"Complete","JJ1887",,,,"MLST.Escherichia_coli_1.131",,,,"2016-03-17T00:00:00Z",,"PRJNA311313","SAMN04481707","GCF_001593565.1",,"CP014316,CP014317,CP014318,CP014319,CP014321,CP014320","NZ_CP014316.1,NZ_CP014317.1,NZ_CP014318.1,NZ_CP014319.1,NZ_CP014321.1,NZ_CP014320.1","Translational Genomics Research Institute",,"PacBio","118X","HGAP v. 3",1,5,6,5331521,50.8,5540,5273,,,"is from a nearly identical strain","2007","United States","United States",,,,,,"Human, Homo sapiens",,,"D014552",,,,,,,,,,,"C",,,,,"We report the complete genome sequence, including five plasmid sequences, of Escherichia coli ST131 isolate JJ1887. The isolate was obtained in 2007 in the United States from a patient with recurrent urinary tract infections, whose caregiver died from urosepsis from a nearly identical strain.","collected_by:not applicable",99.9,98.1,100,0.4,,"Good","2016-04-27T17:05:48.674Z","2016-04-27T17:05:48.674Z"
"155864.210","Escherichia coli O157:H7 str. EDL933",,155864,"Complete","EDL933",,,,"MLST.Escherichia_coli_1.453,MLST.Escherichia_coli_2.86",,,,"2018-04-02T00:00:00Z",,"PRJNA389368","SAMN07196157","GCA_003028715.1",,"CP028305",,"Rehman Medical Institute",,"Illumina MiSeq","30X","SPAdes v. 3.10.1",1,,1,4709911,50.763325,4635,,,"urine",,"06-Dec-2016","Pakistan","Pakistan: Sheikh Zaid Hospital, Lahore",,,,,,"Human, Homo sapiens",,,"Urinary tract infection",,,,,,,,,,,,,,,,"To find out antibiotic resistant genes, De novo mutations, presence of bacteriophage in genome, phylogenetic tree of uropathogens and correlation b/w different phylogentic groups and antibiotic resistance of clinical isolates. Investigating the potential of Lactic acid bacteria to replace antibiotic for treatment of UTI;missing ribosomal protein genes;missing tRNA genes","collected_by:Asma Manzoor, Nabila Ishaq",99.6,98.7,96.8,1.5,,"Good","2018-05-30T23:17:23.107Z","2018-05-30T23:17:23.107Z"
"168807.6","Escherichia coli O127:H6 strain EPEC1",,168807,"Complete","EPEC1",,,,"MLST.Escherichia_coli_1.15,MLST.Escherichia_coli_2.491",,,,"2017-10-28T00:00:00Z",,"PRJEB18717","SAMEA35194168","GCA_900149875.1",,"LT903847",,"CNB/CSIC",,,,,1,,1,4792490,50.7,4844,4407,,"Artificial construct derived from EPEC E2348/69 variety 2","derived from EPEC E2348/69 variety 2, artificially constructed in vitro deleting all known effectors of T3SS except Tir","2015",,,,,,,,"Human, Homo sapiens",,,,,,"host_health_state:not applicable",,,,,,,,,,,,,"Genome of mutant EPEC1, strain derived from EPEC E2348/69 variety 2, artificially constructed in vitro deleting all known effectors of T3SS except Tir. Sequenced using NGS and assembled using as references NC_011601.1 and EPEC E2348/69 variety 2",,99.9,98.8,99.6,,,"Good","2017-11-24T17:35:14.880Z","2017-11-24T17:35:14.880Z"
"168807.7","Escherichia coli O127:H6 strain EPEC E2348/69 variety 2",,168807,"Complete","EPEC E2348/69 variety 2",,,,"MLST.Escherichia_coli_1.15,MLST.Escherichia_coli_2.491",,,,"2017-10-28T00:00:00Z",,"PRJEB18716","SAMEA35192668","GCA_900149915.1",,"LT827011",,"CNB/CSIC",,,,,1,,1,4848621,50.567574,4906,4436,,"Sanger Centre via Imperial College",,"2012","United Kingdom","United Kingdom",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"The strain EPEC E2348/69 variety 2 was obtained from the Sanger Centre via the Imperial College. The sequence was obtained using NGS and the reads were assembled using NC_011601.1 as reference.",,99.9,98.8,99.6,,,"Good","2018-07-16T16:44:24.512Z","2018-07-16T16:44:24.512Z"
"2048778.3","Escherichia coli O178:H19 strain 2012C-4431",,2048778,"Complete","2012C-4431","O178:H19",,"STEC","MLST.Escherichia_coli_2.537",,,,"2017-11-02T00:00:00Z",,"PRJNA218110","SAMN04851096","GCA_002741595.1",,"CP024289,CP024290,CP024291,CP024292",,"CDC",,"PacBio","430.0x","HGAP v. 3",1,3,4,5307783,50.76,5316,,,"stool",,"2012-10-18",,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"PulseNet STEC genome reference library","collected_by:EDLB-CDC",99.8,98.7,100,,,"Good","2017-11-24T17:08:58.323Z","2017-11-24T17:08:58.323Z"
"2126982.6","Escherichia coli O18:H1 strain CFSAN067215",,2126982,"Complete","CFSAN067215",,,,"MLST.Escherichia_coli_1.73,MLST.Escherichia_coli_2.4",,,,"2019-04-11T00:00:00Z",,"PRJNA230969","SAMN08737532","GCA_004771135.1",,"CP028320,CP028321,CP028322,CP028323",,"FDA/CFSAN",,"PacBio","405.0x","HGAP v. 3.0",1,3,4,5242835,50.63415,5484,5362,,,,"2000","USA","USA:CA",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Whole genome sequencing of cultured E. coli as part of the US Food and Drug Administration surveillance project for the rapid detection of foodborne contamination events.","collected_by:Dudley Lab/Penn State",99.9,98.8,,,,"Good","2019-07-14T17:54:05.102Z","2019-07-14T17:54:05.102Z"
"216592.36","Escherichia coli 042",,216592,"Complete","042",,,,"MLST.Escherichia_coli_1.410,MLST.Escherichia_coli_2.471",,,,"2019-09-18T00:00:00Z",,"PRJNA560158","SAMN12569951","GCA_008042015.2",,"CP042934,CP042935,CP042936",,"University of Bern",,"Illumina NovaSeq and Oxford Nanopore","50.0x","CANU v. 1.7",1,2,3,4789860,50.55037,4850,4586,,"stool",,"02-Aug-2019",,"Switzerland",,,,,,"Human, Homo sapiens",,,"colonization",,,,,,,,,,,,,,,,"Shedding of OXA-181-carbapenemase-producing Escherichia coli from companion animals after hospitalization and humans in Switzerland.","collected_by:Odette J. Bernasconi",99.3,98.4,,,,"Good","2019-10-01T21:43:09.539Z","2019-10-01T21:43:09.539Z"
"244319.350","Escherichia coli O26:H11 strain FWSEC0001",,244319,"Complete","FWSEC0001","O26:H11",,,"MLST.Escherichia_coli_1.21,MLST.Escherichia_coli_2.481",,,,"2019-05-03T00:00:00Z",,"PRJNA287560","SAMN08768102","GCA_005037725.2",,"NELP01000000",,"National Microbiology Laboratory",,"Illumina MiSeq;Oxford Nanopore MinION","66.48x;325.05x","Unicycler;Canu v. 0.4.4.0;1.7",1,3,4,5803315,50.620842,6391,6195,,"Clinical: Human (Homo sapiens)","is from Environmental, animal husbandry, food samples, and medical isolates","2002","Canada","Canada:British Columbia,Vancouver",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,"Mesophilic","37 C",,"Facultative","Multiple",,"The food and water safety pilot project is a comprehensive strategy that integrates multidisciplinary components from diverse federal science sources to address two main goals. The first is to enhance food and water safety by developing genomics-based methods for pathogen isolation, detection and characterisation. The second goal is to develop a federally integrated system to manage, store and provide open access to genomic data related to food and water borne pathogens. The model organisms for this study are Shiga-toxin Producing Escherchia coli (STEC) and Salmonella Enteritidis from Environmental, animal husbandry, food samples, and medical isolates.","collected_by:National Microbiology Laboratory: Public Health Agency of Canada",99.6,98.6,,,,"Good","2019-07-14T19:19:01.916Z","2019-07-14T19:19:01.916Z"
"2592065.4","Escherichia coli O1:H42 strain CLSC36",,2592065,"Complete","CLSC36","O1:H42",,"UPEC","MLST.Escherichia_coli_1.648",,,,"2019-07-09T00:00:00Z",,"PRJNA551561","SAMN12158196","GCA_006777045.1",,"CP041300,CP041299",,"McGill University",,"PacBio","138.0x","HGAP v. May-2015; Celera Assembler v.",1,1,2,5278774,50.42186,5293,4992,,"urine from healthy adult with cystitis",,"2005-09-26","Canada","Canada: Montreal",,,,,,"Human, Homo sapiens",,,"cystitis",,,,,,,,,,,,,,,,"This strain was sequenced as part of a study that investigated the activity of the outer membrane protease OmpT among uropathogenic Escherichia coli clinical isolates. Healthy adult with cystitis","collected_by:Student health services McGill University",99.6,98.4,,,,"Good","2019-09-30T16:44:45.900Z","2019-09-30T16:44:45.900Z"
"316435.10","Escherichia coli Nissle 1917",,316435,"Complete","Nissle 1917",,,,"MLST.Escherichia_coli_1.73,MLST.Escherichia_coli_2.4",,,,"2015-06-25T00:00:00Z","25093936","PRJNA248167","SAMN02794012","GCF_000714595.1",,"CP007799","NZ_CP007799.1","Bioifnormatik, Biozentrum, Uni Wuerzburg",,"Illumina; Pacific Biosciences","115116x","Celera Assembler v. Dec. 2013",1,,1,5441200,50.58,5462,4821,,"feces",,"1917",,,,,,,,"Human, Homo sapiens","male",,"dysentery",,,,,,"Negative","Bacilli",,,,,,,,,"Escherichia coli strain Nissle 1917 (EcN) is the active principle of a probiotic preparation (trade name Mutaflor�) used for the treatment of patients with intestinal diseases such as ulcerative colitis and diarrhea.","collected_by:Alfred Nissle",99.9,95.5,100,7.5,,"Good","2016-01-17T15:36:10.872Z","2016-01-17T15:36:10.872Z"
"316435.29","Escherichia coli Nissle 1917",,316435,"Complete","Nissle 1917",,,,"MLST.Escherichia_coli_1.73,MLST.Escherichia_coli_2.4",,,,"2018-09-12T00:00:00Z",,"PRJNA397210","SAMN07451663","GCA_003546975.1",,"CP022686,CP023342,CP022687",,"University of California",,"PacBio","299.1x","HGAP v. V2",1,2,3,5072329,50.56338,5162,5071,,"feces",,"1917","Germany","Germany: Freiburg",,,"279 m",,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Nissle 1917 is a strain with probiotic and medical applications and a tool in gut microbiome research","sample_type:cell culture;collected_by:Nissle",99.9,98.8,100,0.4,,"Good","2018-10-03T08:00:33.661Z","2018-10-03T08:00:33.661Z"
